,pct_homeownership_black_alone,pct_black_loans,pct_bach_degree_or_higher_black_alone
368,30.2,17.71428571428571,6.6
369,0.0,4.0,27.5
370,27.0,6.455542021924482,11.9
371,28.7,4.157303370786517,18.8
372,10.6,0.9768637532133676,38.7
373,15.7,3.286978508217446,22.7
374,49.5,8.24891461649783,16.8
375,72.8,0.5095541401273885,78.0
376,34.7,2.7079303675048356,27.8
377,78.7,3.686635944700461,31.1
378,35.8,3.2397408207343417,25.1
379,66.4,0.5215123859191656,71.5
380,85.8,0.5675368898978433,46.5
381,71.3,0.36363636363636365,24.3
382,49.7,2.5510204081632653,12.0
383,76.4,12.073272273105745,44.8
384,81.8,10.62992125984252,35.7
385,52.4,2.142857142857143,13.7
387,53.3,27.479338842975203,8.1
388,54.4,10.666666666666668,7.6
389,45.8,15.358931552587645,5.9
390,68.4,7.894736842105263,0.0
391,52.1,28.34879406307978,39.8
392,71.6,7.4445617740232315,51.1
393,49.6,23.279714030384273,43.7
394,38.4,10.084033613445378,12.0
396,53.9,11.39240506329114,0.0
397,40.2,5.349344978165939,6.3
398,100.0,8.360128617363344,35.4
403,36.7,10.869565217391305,12.3
404,79.3,33.9622641509434,10.4
405,33.8,3.867403314917127,8.1
406,61.1,22.22222222222222,3.9
407,99.4,6.896551724137931,0.0
411,64.1,26.373626373626376,10.7
412,51.3,28.57142857142857,6.3
413,62.0,6.0606060606060606,7.1
414,45.8,14.40677966101695,18.8
416,57.7,23.448275862068964,8.6
417,65.7,6.896551724137931,14.4
419,76.7,18.75,15.5
421,41.6,16.666666666666664,7.7
422,84.5,7.086614173228346,16.7
423,88.1,18.181818181818183,15.6
424,48.6,13.524590163934427,8.8
425,69.4,14.473684210526317,5.4
427,57.8,25.862068965517242,6.1
428,52.2,18.75,0.9
430,22.8,4.878048780487805,4.0
431,44.5,1.639344262295082,28.2
432,19.0,9.879518072289157,42.0
433,14.2,12.135922330097088,25.8
434,10.9,30.029154518950435,17.7
435,43.1,31.384015594541907,11.9
436,35.4,27.472527472527474,12.6
437,46.2,27.419354838709676,9.1
